strategy,config,run,learners,fpr,fnr,inc_attack_ratio_mean,new1_attack_ratio,new7_attack_ratio,new1_first_pollution_window,new1_first_pollution_ratio,new7_first_pollution_window,new7_first_pollution_ratio
s0_baseline,config_increment_s0_baseline.yaml,20260512_175453_config_increment_s0_baseline.yaml,28,0.017112621023899776,0.16294402377317452,0.5155340136054422,0.3199753061503119,0.5437910818973175,375900-385900,0.192,1175900-1185900,0.992
s1_history_anchor,config_increment_s1_history_anchor.yaml,20260512_175548_config_increment_s1_history_anchor.yaml,13,0.020502535306537086,0.26080668467355284,0.5967708333333334,0.0,0.9777421995377504,-,,755900-765900,1.0
s2_quality_gate,config_increment_s2_quality_gate.yaml,20260512_175644_config_increment_s2_quality_gate.yaml,26,0.017182600395479454,0.16294402377317452,0.5246202090592335,0.3199772055419026,0.5409082876833363,375900-385900,0.192,1175900-1185900,0.992
s3_threshold_decouple,config_increment_s3_threshold_decouple.yaml,20260512_175741_config_increment_s3_threshold_decouple.yaml,42,0.023254195930608894,0.06812449259896554,0.45434310850439885,0.0791921875591166,0.0,375900-385900,0.192,-,
s4_newlearner_cooldown,config_increment_s4_newlearner_cooldown.yaml,20260512_175839_config_increment_s4_newlearner_cooldown.yaml,27,0.024598220776332027,0.08253212901644617,0.5393862815884476,0.2897538545436517,0.953134328358209,375900-385900,0.197,-,
s5_stratified_sampling,config_increment_s5_stratified_sampling.yaml,20260512_175935_config_increment_s5_stratified_sampling.yaml,80,0.026842863172530228,0.10040285727415228,0.46446192898970345,0.006325369738339,0.0,-,,-,
s6_combo,config_increment_s6_combo.yaml,20260512_180040_config_increment_s6_combo.yaml,11,0.009996531916930087,0.34594283409326476,0.5476405551801249,0.0,0.0,-,,-,
